# x1	x2
3.9155	-5.34459
3.92967	-5.35121
3.94381	-5.35781
3.95792	-5.36438
3.97201	-5.37092
3.98606	-5.37743
4.00009	-5.38392
4.01409	-5.39039
4.02806	-5.39683
4.04201	-5.40324
4.05592	-5.40963
4.06981	-5.41599
4.08367	-5.42232
4.09751	-5.42864
4.11131	-5.43492
4.12509	-5.44118
4.13884	-5.44742
4.15256	-5.45363
4.16625	-5.45981
4.17992	-5.46597
4.19356	-5.47211
4.20718	-5.47822
4.22076	-5.48431
4.23432	-5.49037
4.24785	-5.49641
4.26135	-5.50242
4.27483	-5.50841
4.28828	-5.51438
4.30171	-5.52032
4.3151	-5.52624
4.32847	-5.53214
4.34182	-5.53801
4.35513	-5.54386
4.36842	-5.54968
4.38168	-5.55548
4.39492	-5.56126
4.40813	-5.56701
4.42132	-5.57275
4.43447	-5.57846
4.4476	-5.58414
4.46071	-5.58981
4.47379	-5.59545
4.48684	-5.60106
4.49987	-5.60666
4.51287	-5.61223
4.52584	-5.61778
4.53879	-5.62331
4.55171	-5.62882
4.56461	-5.6343
4.57748	-5.63977
4.59032	-5.64521
4.60314	-5.65063
4.61594	-5.65603
4.6287	-5.6614
4.64145	-5.66676
4.65416	-5.67209
4.66686	-5.6774
4.67952	-5.68269
4.69216	-5.68796
4.70478	-5.69321
4.71737	-5.69844
4.72993	-5.70364
4.74247	-5.70883
4.75499	-5.71399
4.76748	-5.71914
4.77994	-5.72426
4.79238	-5.72936
4.8048	-5.73444
4.81719	-5.73951
4.82956	-5.74455
4.8419	-5.74957
4.85421	-5.75457
4.8665	-5.75955
4.87877	-5.76452
4.89101	-5.76946
4.90323	-5.77438
4.91543	-5.77928
4.9276	-5.78417
4.93974	-5.78903
4.95186	-5.79387
4.96396	-5.7987
4.97603	-5.8035
4.98808	-5.80829
5.0001	-5.81305
5.0121	-5.8178
5.02408	-5.82253
5.03603	-5.82724
5.04796	-5.83193
5.05986	-5.8366
5.07174	-5.84126
5.0836	-5.84589
5.09543	-5.85051
5.10724	-5.85511
5.11902	-5.85969
5.13079	-5.86425
5.14252	-5.86879
5.15424	-5.87332
5.16593	-5.87782
5.1776	-5.88231
5.18924	-5.88678
5.20087	-5.89124
5.21246	-5.89567
5.22404	-5.90009
5.23559	-5.90449
5.24712	-5.90887
